MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
000,12141,M12141,H&S CO 3DBN 9THMAR 2DMARIDV,PO BOX 20073,CAMP LEJEUNE NC,28545,02
003,26724,null,MOTOR TRANSPORT CO H&S BN,null,QUANTICO VA,22134,09
005,26729,null,SERV CO H&S BN,null,QUANTICO VA,22134,09
006,26721,null,HQ CO H&S BN,null,QUANTICO VA,22134,09
007,30000,null,HQ MCCDC,3300 RUSSELL ROAD,QUANTICO VA,22134,09
008,54008,null,HQMC NON DEPARTMENTAL,3000 MARINE CORPS PENTAGON,WASHINGTON DC,20350,09
009,54008,null,MAR CORPS PERS & SUP ACTIVITY,HQSVCBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
010,54835,null,PERSONNEL MANAGEMENT DIV,ENL ASGN BR CODE (MMEA-55) HQMC,WASHINGTON DC,20380,09
011,54004,null,HEADQUARTERS BATTALION HQMC,1555 SOUTHGATE RD,ARLINGTON VA,22214,09
012,59001,null,FAMILY HOUSING OFFICE,MCCDC 3049 JULIAN DR,QUANTICO VA,22134,09
013,31301,null,H&S CO USMC SERV SUPPORT SCHOOLS,MCB PSC BOX 20041,CAMP LEJEUNE NC,28542,02
014,33808,MS3324,ASLT AMPHIB SCOL BN,MCB BOX 555041,CAMP PENDLETON CA,92055,03
015,45683,null,HEADQUARTERS BATTALION,MCAGCC BOX 788200,TWENTYNINE PALMS CA,92278,03
016,32090,M32002,RECRUIT TRAINING REGIMENT,MCRD PO BOX 15001,PARRIS ISLAND SC,29905,02
017,34000,M10200,MC RECRUIT DEPOT,MCRD 1600 HENDERSON AVE SUITE 238,SAN DIEGO CA,92140,03
018,45124,null,LEGAL SVC SPT TM (LSST) CHPT NC MCIEAST,MCAS PSC BOX 8004,CHERRY POINT NC,28533,02
019,59034,null,FAMILY HOUSING OFFICE,MCLB,BARSTOW CA,92311,03
020,30020,null,MARCOR TRAINING AND EVALUATION UNIT,3500 RUSSELL RD,QUANTICO VA,22134,09
021,32001,M02225,LEGAL SVC SPT TM (LSST) PARRIS ISLAND MCIEAST,MCRD PO BOX 19610,PARRIS ISLAND SC,29905,02
022,59256,null,PERSONNEL PROCESSING CENTER,MCAS PSC BOX 8015,CHERRY POINT NC,28533,02
023,59035,null,FAMILY HOUSING MURPHY CANYON,3493 SANTO ROAD,SAN DIEGO CA,92124,03
024,02021,M02206,HQ&HQ SQDN,MCAS NEW RIVER PSC BOX 21002,JACKSONVILLE NC,28545,02
025,45683,null,LEGAL SVC SPT TM (LSST) 29PALMS CA MCIWEST,MCAGCC BOX 788200,TWENTYNINE PALMS CA,92278,03
026,59021,null,FAMILY HOUSING OFFICE,MCAS,BEAUFORT SC,29904,02
027,02231,M02212,HQ&HQ SQDN,MCAS PO BOX 99160,YUMA AZ,85369,03
028,33610,M38600,MARINE CORPS MOUNTAIN WARFARE TRNG CENTER,HC 83,BRIDGEPORT CA,93517,03
029,56011,MS5980,EWTGLANT,1575 GATOR BLVD,VIRGINIA BEACH VA,23459,02
030,56001,MS7271,EWTGPAC,3424 GUADALCANAL ROAD,SAN DIEGO CA,92155,03
031,02201,M02227,LEGAL SVC SPT TM (LSST) MIRAMAR MCIWEST,MCAS PO BOX 452022,SAN DIEGO CA,92145,03
032,46252,null,HQ SQDN,MCAF 2100 ROWELL ROAD,QUANTICO VA,22134,09
033,02301,M02228,LEGAL SVC SPT TM (LSST) KANEOHE BAY MCIPAC,MCBH BOX 63062,KANEOHE BAY HI,96863,03
034,46252,null,LEGAL SVC SPT (LSS) NCR QUANTICO VA MCICOM,2006 HAWKINS AVENUE,QUANTICO VA,22134,09
035,46252,null,MV-22 TRANSITION TEAM,2006 HAWKINS AVENUE,QUANTICO VA,22134,09
036,02403,MS4307,HMX-1 HQTRS,2134 ROWELL ROAD,QUANTICO VA,22134,09
